,city,city_ascii,lat,lon,country,iso2,iso3,admin_name,capital,population,id
19696,Wade Hampton,Wade Hampton,34.8821,-82.3336,United States,US,USA,South Carolina,NA,20906.0,1840035800
19697,Wuustwezel,Wuustwezel,51.3922,4.5942,Belgium,BE,BEL,Flanders,NA,20671.0,1056525110
19698,Green Valley,Green Valley,31.8436,-111.0174,United States,US,USA,Arizona,NA,20902.0,1840018111
19699,Mill Creek,Mill Creek,47.8631,-122.2037,United States,US,USA,Washington,NA,20897.0,1840019790
19700,Samacá,Samaca,5.4919,-73.4867,Colombia,CO,COL,Boyacá,minor,20767.0,1170064917
19701,Pallazzolo sull’Oglio,Pallazzolo sull'Oglio,45.6,9.8833,Italy,IT,ITA,Lombardy,NA,20026.0,1380736878
19702,Ovejas,Ovejas,9.5258,-75.2272,Colombia,CO,COL,Sucre,minor,20846.0,1170231895
19703,Pico Truncado,Pico Truncado,-46.8,-67.9667,Argentina,AR,ARG,Santa Cruz,NA,20889.0,1032509324
19704,Yangping,Yangping,27.7607,100.6614,China,CN,CHN,Yunnan,NA,20852.0,1156821978
19705,Universal City,Universal City,29.5521,-98.3074,United States,US,USA,Texas,NA,20890.0,1840022225
19706,Mössingen,Mossingen,48.4064,9.0575,Germany,DE,DEU,Baden-Württemberg,NA,20480.0,1276236369
19707,Sotomayor,Sotomayor,1.4933,-77.5214,Colombia,CO,COL,Nariño,minor,20865.0,1170028050
19708,Kirkby in Ashfield,Kirkby in Ashfield,53.099,-1.245,United Kingdom,GB,GBR,Nottinghamshire,NA,20672.0,1826272364
19709,Buinsk,Buinsk,54.9667,48.2833,Russia,RU,RUS,Tatarstan,NA,20854.0,1643218865
19710,Montclair,Montclair,38.6111,-77.34,United States,US,USA,Virginia,NA,20881.0,1840006095
19711,Gamboma,Gamboma,-1.8795,15.85,Congo (Brazzaville),CG,COG,Plateaux,NA,20877.0,1178991023
19712,López,Lopez,2.8464,-77.2472,Colombia,CO,COL,Cauca,minor,20867.0,1170853742
19713,Lorton,Lorton,38.6984,-77.2163,United States,US,USA,Virginia,NA,20871.0,1840006035
19714,Bourg-lès-Valence,Bourg-les-Valence,44.9475,4.8953,France,FR,FRA,Auvergne-Rhône-Alpes,NA,19889.0,1250580691
19715,Kuusankoski,Kuusankoski,60.9083,26.6236,Finland,FI,FIN,Kymenlaakso,NA,20835.0,1246302102
19716,Clemmons,Clemmons,36.0319,-80.3861,United States,US,USA,North Carolina,NA,20867.0,1840017728
19717,Strathroy-Caradoc,Strathroy-Caradoc,42.9575,-81.6167,Canada,CA,CAN,Ontario,NA,20867.0,1124000831
19718,Güimar,Guimar,28.315,-16.41,Spain,ES,ESP,Canary Islands,NA,20662.0,1724294895
19719,Olenegorsk,Olenegorsk,68.15,33.2833,Russia,RU,RUS,Murmanskaya Oblast’,NA,20847.0,1643381812
19720,Valkeakoski,Valkeakoski,61.2667,24.0306,Finland,FI,FIN,Pirkanmaa,minor,20800.0,1246028934
19721,Viesca,Viesca,25.35,-102.8,Mexico,MX,MEX,Coahuila de Zaragoza,minor,19328.0,1484294846
19722,Hexiang,Hexiang,19.5283,109.6328,China,CN,CHN,Hainan,NA,20729.0,1156312038
19723,Rosamond,Rosamond,34.8658,-118.2154,United States,US,USA,California,NA,20851.0,1840019140
19724,Bear,Bear,39.6188,-75.6804,United States,US,USA,Delaware,NA,20850.0,1840005568
19725,Horten,Horten,59.4172,10.4834,Norway,NO,NOR,Vestfold,NA,20504.0,1578000515
